ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_depth,helo,mailfrom,rcptto,date,from,to,in_reply_to,subject,x_originating_ip,first_received,second_received,last_reply,path,user_agent,tls,fuids,is_webmail
1331902024.070000,CtoBox4y93gvzs9sZb,192.168.202.79,44926,192.168.229.251,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.79",,(empty),F
1331902043.810000,CiH1mj1NuwWexXJJs7,192.168.202.79,45600,192.168.229.251,25,1,example.org,,,,,,,,,,,,,221 2.0.0 Exchange.hec.net Service closing transmission channel,"192.168.229.251,192.168.202.79",,(empty),F
1331903553.660000,C1UPWd4AxJntAm62il,192.168.203.45,33236,192.168.21.202,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.202,192.168.203.45",,(empty),F
1331903555.700000,CEyP812szkmdgAPmz1,192.168.203.45,44845,192.168.21.102,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.102,192.168.203.45",,(empty),F
1331903558.700000,CNt2nu23IsJHrDYXAl,192.168.203.45,58576,192.168.21.203,25,1,nmap.scanme.org,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.21.203,192.168.203.45",,(empty),F
1331903966.750000,CYzIJQ2jEjdAEfDB65,192.168.202.110,57127,192.168.27.102,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.102,192.168.202.110",,(empty),F
1331903972.600000,CTCD41TNBIj2NDI1h,192.168.202.110,57145,192.168.27.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.102,192.168.202.110",,(empty),F
1331903995.500000,Cmv1sa21XK10vKe0R8,192.168.202.110,57347,192.168.27.102,25,1,168.27.102,<root@[192.168.202.110]>,"root+:""|sleep 5 #""",,,,,,,,,,,250 2.1.5 Ok,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.160000,Cq3Xg81OgHfnUH8PP3,192.168.202.110,57353,192.168.27.102,25,1,192.168.202.110,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.200000,CYTZ53XQsHqr4yUPg,192.168.202.110,57354,192.168.27.102,25,1,example.com,,,,,,,,,,,,,252 2.0.0 root,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.620000,CPsmFS1LjAaJmQ2iga,192.168.202.110,57355,192.168.27.102,25,1,nessus,,,,,,,,,,,,,250 DSN,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.920000,CgS6Agpvy2YuahpJ2,192.168.202.110,57358,192.168.27.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.930000,Ch5Rhi204dtrjUXw8g,192.168.202.110,57360,192.168.27.102,25,1,,,,,,,,,,,,,,502 5.5.2 Error: command not recognized,"192.168.27.102,192.168.202.110",,(empty),F
1331903996.940000,CX0sFa1Pg22EZQmGY6,192.168.202.110,57362,192.168.27.102,25,1,example.com,,,,,,,,,,,,,503 5.5.1 Error: authentication not enabled,"192.168.27.102,192.168.202.110",,(empty),F
1331904015.220000,C02ilx1YAHz5mBN6Pc,192.168.202.110,47173,192.168.27.202,25,1,mail.nessus.org,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.202,192.168.202.110",,(empty),F
1331904016.910000,CrKFaV3XNg95i0Nj7h,192.168.202.110,58127,192.168.27.102,25,1,example.com,,,,,,,,,,,,,250 ubuntu.localdomain,"192.168.27.102,192.168.202.110",,(empty),F
1331904016.930000,CiXYwF3dnXNxvNa1Ei,192.168.202.110,58129,192.168.27.102,25,1,,,,,,,,,,,,,,221 2.0.0 Bye,"192.168.27.102,192.168.202.110",,(empty),F
