ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,tunnel_type,action
1331903907.840000,CAZ2pG3tEWcozhPPzi,192.168.202.110,60807,192.168.27.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903932.830000,CZVmMe12RoVbuz74u5,192.168.202.110,43126,192.168.27.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903967.840000,CAZ2pG3tEWcozhPPzi,192.168.202.110,60807,192.168.27.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331903974.460000,CaAV5W3NRFhcBUqY8a,192.168.202.110,50625,192.168.27.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903979.820000,CKf4q51yEqO6jvaw66,192.168.202.110,44569,192.168.27.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903992.830000,CZVmMe12RoVbuz74u5,192.168.202.110,43126,192.168.27.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331903994.530000,CzDdIoQIRZEAlIeo,192.168.202.110,42089,192.168.27.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904005.190000,Cqjvew4codCkXqKNSj,192.168.202.110,48846,192.168.27.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904034.460000,CaAV5W3NRFhcBUqY8a,192.168.202.110,50625,192.168.27.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904038.420000,C6rErQ2Y20pNHqG9Qj,192.168.202.110,40053,192.168.27.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904039.820000,CKf4q51yEqO6jvaw66,192.168.202.110,44569,192.168.27.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904054.530000,CzDdIoQIRZEAlIeo,192.168.202.110,42089,192.168.27.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904065.190000,Cqjvew4codCkXqKNSj,192.168.202.110,48846,192.168.27.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904098.420000,C6rErQ2Y20pNHqG9Qj,192.168.202.110,40053,192.168.27.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904249.810000,CI1VJJuoHQKFTaPvk,192.168.202.110,35756,192.168.27.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904309.810000,CI1VJJuoHQKFTaPvk,192.168.202.110,35756,192.168.27.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
